Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Benton Nissan - Hoover,1640 Montgomery Hwy,,Birmingham,AL,35216,,205-979-5420,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,33.39493,-86.80726,2024-02-12,39849,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Matt Bowers Nissan Eastern Shore,29788 Fredrick Blvd,,Daphne,AL,36526,,251-626-5558,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.660697,-87.858464,2024-02-12,39850,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Lynn Layton Nissan,2402 Highway 31 S,,Decatur,AL,35601,,256-353-8150,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,34.56385,-86.97219,2024-02-12,39851,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Jack Ingram Motors,227 Eastern Bypass,,Montgomery,AL,36117,,,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,32.376832,-86.208559,2024-02-12,39852,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Nissan of Albertville,9736 US Highway 431,,Albertville,AL,35950,,256-878-4390,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,34.290864,-86.244855,2024-02-12,46667,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Massey Automotive,600 W Bypass,,Andalusia,AL,36420,,334-222-4171,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,31.318556,-86.45545,2024-02-12,46669,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Lynch Nissan - Auburn,140 W Creek Pkwy,,Auburn,AL,36830,,334-821-4888,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,32.559745,-85.50088,2024-02-12,46671,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Benton Nissan - Bessemer,5487 Academy Way,,Bessemer,AL,35022,,205-428-6314,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,33.363169,-87.007652,2024-02-12,46673,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Jim Burke Nissan,1300 3rd Ave N,,Birmingham,AL,35203,,205-324-3371,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,33.512147,-86.816519,2024-02-12,46675,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Serra Nissan,1500 Center Pt Pkwy,,Birmingham,AL,35215,,205-856-2544,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,33.624698,-86.686454,2024-02-12,46677,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
