Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Gates Nissan,4098 Atwood Dr,,Richmond,KY,40475,,888-484-2194,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-8,37.76161,-84.27373,2024-02-12,45631,2024-02-12 15:25:05 UTC,P,,,2012-03-20,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Legacy Nissan,395 W Highway 192,,London,KY,40741,,877-806-0330,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,37.105179,-84.079467,2024-02-12,45632,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Don Franklin Nissan - Lexington,3360 Richmond Rd,,Lexington,KY,40509,,800-880-5020,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,37.997336,-84.441827,2024-02-12,45633,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Bob Allen Nissan,725 Maple Ave,,Danville,KY,40422,,859-236-3217,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,37.657747,-84.784008,2024-02-12,45634,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,,false
ELEC,Don Franklin Nissan - Lexington,3360 Richmond Rd,,Lexington,KY,40509,,800-880-5020,E,,Public,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,37.997336,-84.441827,2024-02-12,46851,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Bill Cole Nissan,2701 Winchester Ave,,Ashland,KY,41101,,606-329-2288,E,,Public - Credit card at all times,Dealership business hours,A CREDIT D M V,,,,,1,1,,Non-Networked,,200-9,38.472192,-82.626259,2024-02-12,47175,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CAR_DEALER,,,,,,,"DCFC: $0.99 per session, $0.37 per kWh",,,,,,,,,,false,,,,,,,,LD,false
ELEC,Kerry Nissan,8053 Burlington Pike,,Florence,KY,41042,,859-371-8191,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,39.00319,-84.65435,2024-02-12,47178,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Collins Nissan,4142 Bardstown Rd,,Louisville,KY,40218,,502-491-0882,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,GPS,38.185647,-85.642223,2024-02-12,47180,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Neil Huffman Nissan - Frankfort,1220 Versailles Rd,,Frankfort,KY,40601,,502-848-0002,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,38.183373,-84.816658,2024-02-12,49791,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,,false
ELEC,Sisk Nissan,10800 Eagle Way,,Hopkinsville,KY,42240,,270-886-6681,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,36.81896,-87.47486,2024-02-12,49793,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
