Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Gray-Daniels Nissan - Brandon,108 Gray Daniels Blvd,,Brandon,MS,39042,,601-948-3050,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,32.280561,-90.032108,2024-02-12,45822,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false
ELEC,Paul Barnett Nissan,845 Brookway Blvd,,Brookhaven,MS,39601,,601-833-9124,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,31.57815,-90.46374,2024-02-12,45824,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Columbus Nissan,100 Highway 12 E,,Columbus,MS,39702,,662-328-6691,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,33.520806,-88.362801,2024-02-12,45826,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,James Ceranti Nissan,3130 Highway 82 E,,Greenville,MS,38703,,662-335-3505,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,33.40083,-91.00818,2024-02-12,45828,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Cannon Nissan,69900 Highway 82 W,,Greenwood,MS,38930,,662-453-4211,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,33.525183,-90.207653,2024-02-12,45830,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Grenada Nissan,2105 Sunset Dr,,Grenada,MS,38901,,662-226-2116,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,33.785742,-89.852801,2024-02-12,45832,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Pat Peck Nissan,9480 US Highway 49,,Gulfport,MS,39503,,228-864-6411,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.425992,-89.091508,2024-02-12,45834,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Petro Nissan,6248 Highway 98 W,,Hattiesburg,MS,39402,,601-264-4411,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,31.3178137,-89.3946827,2024-02-12,45836,2024-02-12 15:25:05 UTC,P,,,2015-06-23,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,,false
ELEC,Cannon Nissan - Jackson,905 I-20 Frontage Rd,,Jackson,MS,39204,,601-360-7490,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.273401,-90.194078,2024-02-12,45838,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Gray-Daniels Nissan - Jackson,6080 I-55 N Frontage Rd,,Jackson,MS,39211,,601-956-7522,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.39278,-90.144432,2024-02-12,45840,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Estabrook Motor Co,3689 14th St,,Pascagoula,MS,39567,,228-762-2641,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,30.37367,-88.53998,2024-02-12,45844,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Nissan of Picayune,239 Frontage Rd,,Picayune,MS,39466,,601-889-5454,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.513154,-89.663644,2024-02-12,45846,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Blackburn Nissan,2195 N Frontage Rd,,Vicksburg,MS,39180,,601-661-7565,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.325412,-90.866422,2024-02-12,45850,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Whole Foods Market,4500 I-55 N,Suite 99,Jackson,MS,39211,,601-608-0405,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,32.35503105433092,-90.15006741698838,2022-06-14,79817,2023-02-14 15:54:11 UTC,P,,,2019-09-01,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
