Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Oak Ridge Nissan,101 S Illinois Ave,,Oak Ridge,TN,37830,,865-482-5489,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.010279,-84.268049,2024-02-12,39705,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Newton Nissan South,2801 Highway 231 N,,Shelbyville,TN,37160,,931-684-6811,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.558371,-86.448276,2024-02-12,39707,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Mountain View Nissan,2100 S Market St,,Chattanooga,TN,37408,,423-756-1500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,35.030251,-85.308376,2024-02-12,39802,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Harold Mathews Nissan,185 Highway 76,,Clarksville,TN,37043,,931-552-7555,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,36.513006,-87.268667,2024-02-12,39803,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Cookeville Nissan,501 Neal St,,Cookeville,TN,38501,,931-528-7715,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.137109,-85.496453,2024-02-12,39805,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Victory Nissan West,2219 Highway 46 S,,Dickson,TN,37055,,615-446-7070,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.023934,-87.340223,2024-02-12,39806,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Rick Hill Nissan,2700 Parr Ave,,Dyersburg,TN,38024,,731-285-6294,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.063277,-89.379485,2024-02-12,39807,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Nissan of Cool Springs,212 Comtide Ct,,Franklin,TN,37067,,615-790-2500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,35.957857,-86.80853,2024-02-12,39808,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Newton Nissan of Gallatin,1461 Nashville Pike,,Gallatin,TN,37066,,615-451-6827,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,36.36102,-86.49452,2024-02-12,39809,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Tri-Cities Nissan,3602 Bristol Hwy,,Johnson City,TN,37601,,423-282-4731,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.374198,-82.372119,2024-02-12,39811,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
