County,"1990 Population","2000 Population","2010 Population","2020 Population"
Anderson,"68,250","71,330","75,129","77,123"
Bedford,"30,411","37,586","45,058","50,237"
Benton,"14,524","16,537","16,489","15,864"
Bledsoe,"9,669","12,367","12,876","14,913"
Blount,"85,969","105,823","123,010","135,280"
Bradley,"73,712","87,965","98,963","108,620"
Campbell,"35,079","39,854","40,716","39,272"
Cannon,"10,467","12,826","13,801","14,506"
Carroll,"27,514","29,475","28,522","28,440"
Carter,"51,505","56,742","57,424","56,356"
Cheatham,"27,140","35,912","39,105","41,072"
Chester,"12,819","15,540","17,131","17,341"
Claiborne,"26,137","29,862","32,213","32,043"
Clay,"7,238","7,976","7,861","7,581"
Cocke,"29,141","33,565","35,662","35,999"
Coffee,"40,339","48,014","52,796","57,889"
Crockett,"13,378","14,532","14,586","13,911"
Cumberland,"34,736","46,802","56,053","61,145"
Davidson,"510,784","569,891","626,681","715,884"
Decatur,"10,472","11,731","11,757","11,435"
DeKalb,"14,360","17,423","18,723","20,080"
Dickson,"35,061","43,156","49,666","54,315"
Dyer,"34,854","37,279","38,335","36,801"
Fayette,"25,559","28,806","38,413","41,990"
Fentress,"14,669","16,625","17,959","18,489"
Franklin,"34,725","39,270","41,052","42,774"
Gibson,"46,315","48,152","49,683","50,429"
Giles,"25,741","29,447","29,485","30,346"
Grainger,"17,095","20,659","22,657","23,527"
Greene,"55,853","62,909","68,831","70,152"
Grundy,"13,362","14,332","13,703","13,529"
Hamblen,"50,480","58,128","62,544","64,499"
Hamilton,"285,536","307,896","336,463","366,207"
Hancock,"6,739","6,786","6,819","6,662"
Hardeman,"23,377","28,105","27,253","25,462"
Hardin,"22,633","25,578","26,026","26,831"
Hawkins,"44,565","53,563","56,833","56,721"
Haywood,"19,437","19,797","18,787","17,864"
Henderson,"21,844","25,522","27,769","27,842"
Henry,"27,888","31,115","32,330","32,199"
Hickman,"16,754","22,296","24,690","24,925"
Houston,"7,018","8,088","8,426","8,283"
Humphreys,"15,795","17,929","18,538","18,990"
Jackson,"9,297","10,984","11,638","11,617"
Jefferson,"33,016","44,294","51,407","54,683"
Johnson,"13,766","17,499","18,244","17,948"
Knox,"335,749","382,032","432,226","478,971"
Lake,"7,129","7,954","7,832","7,005"
Lauderdale,"23,491","27,101","27,815","25,143"
Lawrence,"35,303","39,926","41,869","44,159"
Lewis,"9,247","11,367","12,161","12,582"
Lincoln,"28,157","31,340","33,361","35,319"
Loudon,"31,255","39,086","48,556","54,886"
Macon,"15,906","20,386","22,248","25,216"
Madison,"77,982","91,837","98,294","98,823"
Marion,"24,860","27,776","28,237","28,837"
Marshall,"21,539","26,767","30,617","34,318"
Maury,"54,812","69,498","80,956","100,974"
McMinn,"42,383","49,015","52,266","53,276"
McNairy,"22,422","24,653","26,075","25,866"
Meigs,"8,033","11,086","11,753","12,758"
Monroe,"30,541","38,961","44,519","46,250"
Montgomery,"100,498","134,768","172,331","220,069"
Moore,"4,721","5,740","6,362","6,461"
Morgan,"17,300","19,757","21,987","21,035"
Obion,"31,717","32,450","31,807","30,787"
Overton,"17,636","20,118","22,083","22,511"
Perry,"6,612","7,631","7,915","8,366"
Pickett,"4,548","4,945","5,077","5,001"
Polk,"13,643","16,050","16,825","17,544"
Putnam,"51,373","54,433","72,321","79,854"
Rhea,"24,344","28,400","31,809","32,870"
Roane,"47,227","51,910","54,181","53,404"
Robertson,"41,494","54,433","66,283","72,803"
Rutherford,"118,570","182,023","262,604","341,486"
Scott,"18,358","21,127","22,228","21,850"
Sequatchie,"8,863","11,370","14,112","15,826"
Sevier,"51,043","71,170","89,889","98,380"
Shelby,"826,330","897,472","927,644","929,744"
Smith,"14,143","17,712","19,166","19,904"
Stewart,"9,479","12,370","13,324","13,657"
Sullivan,"143,596","153,048","156,823","158,163"
Sumner,"103,281","130,449","160,645","196,281"
Tipton,"37,568","51,271","61,081","60,970"
Trousdale,"5,920","7,259","7,870","11,615"
Unicoi,"16,549","17,667","18,313","17,928"
Union,"13,694","17,808","19,109","19,802"
"Van Buren","4,846","5,508","5,548","6,168"
Warren,"32,992","38,276","39,839","40,953"
Washington,"92,315","107,198","122,979","133,001"
Wayne,"13,935","16,842","17,021","16,232"
Weakley,"31,972","34,895","35,021","32,902"
White,"20,090","23,102","25,841","27,351"
Williamson,"81,021","126,638","183,182","247,726"
Wilson,"67,675","88,809","113,993","147,737"
