station_id,open_time,last_time,total_sessions,total_energy_kwh,num_evses,provider,latitude,longitude,city,state,station_name,operational_days,operational_years
CP_4-COUNTY_EPA_STATION_1_L,2025-06-14 20:24:00.000,2025-11-09 08:58:00.000,120,5190.066,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L),147,0.4024640657084189
CP_7SPC_SEVIERVILLE,2023-06-04 11:40:00.000,2025-11-09 23:08:00.000,3529,106414.14,1,ChargePoint,35.867249,-83.564766,Sevierville,Tennessee,7SPC / SEVIERVILLE,889,2.433949349760438
CP_ACEPA_ACE_STATION_1,2025-03-05 20:13:00.000,2025-11-09 16:26:00.000,285,8658.454,1,ChargePoint,34.93623,-88.521034,Corinth,Mississippi,ACEPA / ACE STATION 1,248,0.6789869952087612
CP_ACEPA_ACE_STATION_2,2025-03-09 15:26:00.000,2025-11-09 19:09:00.000,204,6696.008,1,ChargePoint,34.936214,-88.520981,Corinth,Mississippi,ACEPA / ACE STATION 2,245,0.6707734428473648
CP_AEC_STATION_1_L,2024-05-30 10:13:00.000,2025-11-04 15:19:00.000,346,10586.584,1,ChargePoint,36.343761,-83.269989,Bean Station,Tennessee,AEC / STATION #1 (L),523,1.431895961670089
CP_AEC_STATION_2_R,2024-05-30 13:54:00.000,2025-11-09 21:48:00.000,323,10472.807,1,ChargePoint,36.343754,-83.270042,Bean Station,Tennessee,AEC / STATION #2 (R),528,1.4455852156057496
CP_BCES_STATION_1_L,2025-03-27 20:19:00.000,2025-11-09 09:14:00.000,111,3439.649,1,ChargePoint,36.074844,-88.111855,Camden,Tennessee,BCES / STATION 1 (L),226,0.6187542778918549
CP_BCES_STATION_2_R,2025-03-30 11:57:00.000,2025-11-09 20:21:00.000,241,5342.578,1,ChargePoint,36.074764,-88.111847,Camden,Tennessee,BCES / STATION 2 (R),224,0.6132785763175906
CP_BEA_STATION_1_LL,2024-08-16 17:32:00.000,2025-11-08 15:09:00.000,275,8753.09,1,ChargePoint,35.540173,-89.24646,Brownsville,Tennessee,BEA / STATION 1 (LL),448,1.2265571526351813
CP_BEA_STATION_2_LM,2024-08-15 09:11:00.000,2025-11-09 01:31:00.000,207,6778.635,1,ChargePoint,35.540195,-89.24646,Brownsville,Tennessee,BEA / STATION 2 (LM),450,1.2320328542094456
CP_BEA_STATION_3_RM,2024-08-12 12:50:00.000,2025-11-07 20:09:00.000,284,9275.211,1,ChargePoint,35.540226,-89.246445,Brownsville,Tennessee,BEA / STATION 3 (RM),452,1.2375085557837098
CP_BEA_STATION_4_RR,2024-08-13 16:27:00.000,2025-11-03 13:30:00.000,326,10474.222,1,ChargePoint,35.540264,-89.246437,Brownsville,Tennessee,BEA / STATION 4 (RR),446,1.2210814510609171
CP_BRIGHTRIDGE_EV_STATION_1_L,2025-01-11 15:28:00.000,2025-11-09 15:25:00.000,898,28161.287,1,ChargePoint,36.316082,-82.349915,Johnson City,Tennessee,BRIGHTRIDGE EV / STATION 1 (L),301,0.8240930869267625
CP_BRIGHTRIDGE_EV_STATION_2_R,2025-01-09 12:55:00.000,2025-11-09 16:30:00.000,898,29879.257,1,ChargePoint,36.316082,-82.349899,Johnson City,Tennessee,BRIGHTRIDGE EV / STATION 2 (R),304,0.8323066392881588
CP_BRMEMC_STATION_1,2024-07-22 19:52:00.000,2025-11-09 21:56:00.000,750,25465.617,1,ChargePoint,34.876095,-83.959709,Blairsville,Georgia,BRMEMC / STATION 1,475,1.3004791238877482
CP_BRMEMC_STATION_2,2024-07-23 07:37:00.000,2025-11-08 17:39:00.000,1133,39131.135,1,ChargePoint,34.876137,-83.959801,Blairsville,Georgia,BRMEMC / STATION 2,473,1.2950034223134839
CP_BTES_STATION_1_LL,2024-06-30 11:14:00.000,2025-11-07 00:43:00.000,395,13472.085000000001,1,ChargePoint,36.591763,-82.261505,Bristol,Tennessee,BTES / STATION 1 (LL),494,1.352498288843258
CP_BTES_STATION_2_LM,2024-07-07 10:06:00.000,2025-08-05 15:04:00.000,243,9711.575,1,ChargePoint,36.591827,-82.261559,Bristol,Tennessee,BTES / STATION 2 (LM),394,1.0787132101300478
CP_BTES_STATION_3_RM,2024-07-03 14:48:00.000,2025-11-09 19:12:00.000,693,24872.218,1,ChargePoint,36.591862,-82.261597,Bristol,Tennessee,BTES / STATION 3 (RM),494,1.352498288843258
