EVSE ID,Charging Venue,Latitude,Longitude,Station Name,Address 1,City,State/Province,Zip/Postal Code,County,Port Type,Port Number
13659831,HWY,35.193806,-87.340416,LAWRENCEBURG / STATION 1 (L),2347 Hwy 43 N,Leoma,Tennessee,38468,Lawrence County,DC Fast,1A
5346231,HWY,34.208118,-86.875031,CULLMANELECTRIC / STATION2-R,5982 AL-157,Cullman,Alabama,35058,Cullman County,DC Fast,1A
13659871,HWY,35.193806,-87.340462,LAWRENCEBURG / STATION 2 (R),2347 Hwy 43 N,Leoma,Tennessee,38468,Lawrence County,DC Fast,1A
5122191,HWY,34.208065,-86.875031,CULLMANELECTRIC / STATION1-L,5982 AL-157,Cullman,Alabama,35058,Cullman County,DC Fast,1A
14047321,Office,34.367966,-89.519547,JEFFERSON AVE. / OXFORD STA2(R),1102 Jefferson Avenue,Oxford,Mississippi,38655,Lafayette County,DC Fast,1A
2118081,Leisure,36.176765,-85.511383,7SPC / TTU DC FAST 1,320 University Drive,Cookeville,Tennessee,38501,Putnam County,DC Fast,1A
15280441,Office,36.510227,-86.885826,SPRFLD ELECTRIC / STATION 2 (R),401 N Main St.,Springfield,Tennessee,37172,Robertson County,DC Fast,1A
1932851,Leisure,36.319023,-82.353546,BRIGHTRIDGE EV / BR-JC LIBRARY,201 N Roan St,Johnson City,Tennessee,37601,Washington County,Level 2,2
13606091,HWY,36.523891,-87.223343,I24 EXIT11 / STATION 3 (RM),701 Sango Road,Clarksville,Tennessee,37043,Montgomery County,DC Fast,1A
5565291,Leisure,35.799549,-83.561378,7SPC / SCES LECONTE 1,2925 Teaster Ln,Pigeon Forge,Tennessee,37863,Sevier County,Level 2,2
14359491,Office,34.358807,-86.294914,EBOFG / STATION 1 (L),440 Old Town Street,Guntersville,Alabama,35976,Marshall County,DC Fast,1A
12406401,Leisure,34.444214,-85.718971,FPIA / RIGHT STATION,501 Gault Ave N,Fort Payne,Alabama,35967,DeKalb County,DC Fast,1A
13606061,HWY,36.523895,-87.223366,I24 EXIT11 / STATION 4 (RR),701 Sango Road,Clarksville,Tennessee,37043,Montgomery County,DC Fast,1A
12406491,Leisure,34.444248,-85.718925,FPIA / LEFT STATION,501 Gault Ave N,Fort Payne,Alabama,35967,DeKalb County,DC Fast,1A
5445161,Leisure,36.381214,-85.323326,7SPC / UC - LIVINGSTON,210 N McHenry St,Livingston,Tennessee,38570,Overton County,Level 2,1
13664501,Shopping,36.591892,-82.261612,BTES / STATION 4 (RR),392 Pinnacle Pkwy,Bristol,Tennessee,37620,Sullivan County,DC Fast,1A
15280471,Office,36.510201,-86.885803,SPRFLD ELECTRIC / STATION 1 (L),401 N Main St.,Springfield,Tennessee,37172,Robertson County,DC Fast,1A
13606141,HWY,36.523884,-87.223282,I24 EXIT11 / STATION 1 (LL),701 Sango Road,Clarksville,Tennessee,37043,Montgomery County,DC Fast,1A
15250701,Leisure,35.96196,-85.812782,SES-TN / STATION 2,106 N 3rd Street,Smithville,Tennessee,37166,DeKalb County,DC Fast,1A
15729991,Leisure,36.119453,-83.489426,AEC / AEC03,2214 Branner Avenue,Jefferson City,Tennessee,37760,Jefferson County,Level 2,1
13966031,HWY,35.540264,-89.246437,BEA / STATION 4 (RR),121 Sunny Hill Cove,Brownsville,Tennessee,38012,Haywood County,DC Fast,1A
5424051,Shopping,36.347511,-82.218582,EEDEV / ELIZ DOWNTOWN,404 E Elk Ave,Elizabethton,Tennessee,37643,Carter County,Level 2,2
9777021,Leisure,34.203648,-86.804939,CRMC / CRMC-2- L2RIGHT,POB2 Parking Lot - Station 2,Cullman,Alabama,35058,Cullman County,Level 2,1
5354011,HWY,36.32513,-82.835075,7SPC / GREENEVILLE TA,195 Van Hill Rd,Greeneville,Tennessee,37745,Greene County,DC Fast,1A
5466441,Leisure,34.71172,-86.655479,7SPC / NASA USSRC R,1 Tranquility Base,Huntsville,Alabama,35805,Madison County,Level 2,2
12720881,HWY,37.377159,-86.826317,WRECC / STATION 1,675 Western Kentucky Pkwy,Beaver Dam,Kentucky,42320,Ohio County,DC Fast,1A
14337501,Med,36.517448,-82.707474,HOLSTONELECTRIC / CHURCH HILL-2,219 S Central Ave,Church Hill,Tennessee,37642,Hawkins County,DC Fast,1B
15574161,Leisure,34.697075,-76.703003,SOUTHWINDS2008 / SOUTHWINDS,2008 E Fort Macon Rd,Atlantic Beach,North Carolina,28512,Carteret County,Level 2,2A
13290491,Leisure,34.711758,-86.65538,7SPC / NASA USSRC L,1 Tranquility Base,Huntsville,Alabama,35805,Madison County,Level 2,1
13423581,Office,36.343754,-83.270042,AEC / STATION #2 (R),1171 US-11W,Bean Station,Tennessee,37708,Grainger County,DC Fast,1A
